key,year,vlow,low,mod,above,total
corte madera,2023,2,2,2,0,6
corte madera,2024,5,4,4,2,15
corte madera,2025,2,3,1,1,7
cotati,2018,0,0,2,0,2
cotati,2019,1,3,0,3,7
cotati,2020,2,1,1,16,20
cotati,2021,4,2,8,22,36
cotati,2022,2,0,1,4,7
cotati,2023,1,0,0,3,4
cotati,2024,1,2,1,6,10
cotati,2025,1,2,0,1,4
cupertino,2018,19,0,15,2,36
cupertino,2019,0,0,15,24,39
cupertino,2020,0,0,19,1,20
cupertino,2021,29,19,41,1,90
cupertino,2022,0,0,24,104,128
cupertino,2023,10,10,10,38,68
cupertino,2024,14,13,13,40,80
cupertino,2025,17,18,19,57,111
daly city,2018,0,37,40,22,99
daly city,2019,0,35,36,81,152
daly city,2020,0,18,47,215,280
daly city,2021,147,0,33,82,262
daly city,2022,0,6,23,81,110
daly city,2023,0,0,21,23,44
daly city,2024,0,0,0,28,28
daly city,2025,100,50,17,24,191
danville,2018,10,5,11,188,214
danville,2019,10,17,12,200,239
danville,2020,0,15,7,20,42
danville,2021,0,29,10,11,50
danville,2022,0,25,12,19,56
danville,2023,4,4,11,71,90
danville,2024,0,0,0,70,70
danville,2025,22,22,0,82,126
dixon,2019,0,0,71,44,115
dixon,2020,0,0,15,159,174
dixon,2021,27,16,0,347,390
dixon,2022,0,0,0,250,250
dixon,2023,16,56,0,337,409
dixon,2024,23,84,1,175,283
dixon,2025,0,0,0,235,235
dublin,2018,0,0,17,770,787
dublin,2019,0,0,8,233,241
dublin,2020,0,0,27,473,500
dublin,2021,0,0,13,764,777
dublin,2022,0,0,7,346,353
dublin,2023,0,0,0,386,386
dublin,2024,0,1,0,89,90
dublin,2025,112,40,19,404,575
east palo alto,2018,0,0,0,0,0
east palo alto,2019,4,2,2,1,9
